1, 7, 42
21, 6, 42
20, 6, 42
21, 7, 42
1, 8, 42
2, 6, 42
1, 6, 42
20, 5, 42
21, 8, 42
0, 9, 42
1, 9, 42
21, 9, 42
2, 5, 42
19, 4, 42
22, 9, 42
0, 10, 42
1, 10, 42
21, 10, 42
3, 4, 42
18, 3, 42
22, 10, 42
0, 11, 42
1, 11, 42
5, 3, 42
4, 3, 42
3, 3, 42
17, 2, 42
16, 2, 42
21, 11, 42
22, 11, 42
0, 12, 42
1, 12, 42
21, 12, 42
22, 12, 42
6, 2, 42
5, 2, 42
4, 2, 42
16, 1, 42
15, 1, 42
14, 1, 42
13, 1, 42
12, 1, 42
11, 1, 42
10, 1, 42
9, 1, 42
8, 1, 42
7, 1, 42
6, 1, 42
13, 0, 42
12, 0, 42
11, 0, 42
10, 0, 42
9, 0, 42
15, 22, 41
14, 22, 41
13, 22, 41
12, 22, 41
11, 22, 41
10, 22, 41
9, 22, 41
8, 22, 41
7, 22, 41
17, 21, 41
16, 21, 41
15, 21, 41
14, 21, 41
13, 21, 41
12, 21, 41
11, 21, 41
10, 21, 41
9, 21, 41
8, 21, 41
7, 21, 41
6, 21, 41
5, 21, 41
18, 20, 41
17, 20, 41
16, 20, 41
15, 20, 41
14, 20, 41
13, 20, 41
12, 20, 41
11, 20, 41
10, 20, 41
9, 20, 41
8, 20, 41
7, 20, 41
6, 20, 41
5, 20, 41
4, 20, 41
3, 20, 41
19, 19, 41
18, 19, 41
17, 19, 41
16, 19, 41
15, 19, 41
14, 19, 41
13, 19, 41
12, 19, 41
11, 19, 41
10, 19, 41
9, 19, 41
8, 19, 41
7, 19, 41
6, 19, 41
5, 19, 41
4, 19, 41
3, 19, 41
20, 18, 41
19, 18, 41
18, 18, 41
17, 18, 41
16, 18, 41
15, 18, 41
14, 18, 41
13, 18, 41
12, 18, 41
11, 18, 41
10, 18, 41
9, 18, 41
8, 18, 41
7, 18, 41
6, 18, 41
5, 18, 41
4, 18, 41
3, 18, 41
2, 18, 41
21, 17, 41
20, 17, 41
19, 17, 41
18, 17, 41
17, 17, 41
16, 17, 41
15, 17, 41
14, 17, 41
13, 17, 41
0, 13, 42
1, 13, 42
21, 13, 42
9, 17, 41
8, 17, 41
7, 17, 41
6, 17, 41
5, 17, 41
4, 17, 41
3, 17, 41
2, 17, 41
1, 17, 41
21, 16, 41
20, 16, 41
19, 16, 41
18, 16, 41
17, 16, 41
16, 16, 41
15, 16, 41
22, 13, 42
1, 14, 42
21, 14, 42
1, 15, 42
21, 15, 42
7, 16, 41
6, 16, 41
5, 16, 41
4, 16, 41
3, 16, 41
2, 16, 41
1, 16, 41
22, 15, 41
21, 15, 41
20, 15, 41
19, 15, 41
18, 15, 41
17, 15, 41
16, 15, 41
1, 16, 42
2, 16, 42
6, 15, 41
5, 15, 41
4, 15, 41
3, 15, 41
2, 15, 41
1, 15, 41
0, 15, 41
22, 14, 41
21, 14, 41
20, 14, 41
19, 14, 41
18, 14, 41
17, 14, 41
20, 16, 42
21, 16, 42
2, 17, 42
5, 14, 41
4, 14, 41
3, 14, 41
2, 14, 41
1, 14, 41
0, 14, 41
22, 13, 41
21, 13, 41
20, 13, 41
19, 13, 41
18, 13, 41
17, 13, 41
20, 17, 42
3, 18, 42
5, 13, 41
4, 13, 41
3, 13, 41
2, 13, 41
1, 13, 41
0, 13, 41
22, 12, 41
21, 12, 41
20, 12, 41
19, 12, 41
18, 12, 41
19, 18, 42
3, 19, 42
4, 19, 42
4, 12, 41
3, 12, 41
2, 12, 41
1, 12, 41
0, 12, 41
22, 11, 41
21, 11, 41
20, 11, 41
19, 11, 41
18, 11, 41
5, 19, 42
18, 19, 42
4, 11, 41
3, 11, 41
2, 11, 41
1, 11, 41
0, 11, 41
22, 10, 41
21, 10, 41
20, 10, 41
19, 10, 41
18, 10, 41
4, 20, 42
5, 20, 42
6, 20, 42
4, 10, 41
3, 10, 41
2, 10, 41
1, 10, 41
0, 10, 41
22, 9, 41
21, 9, 41
20, 9, 41
19, 9, 41
18, 9, 41
17, 9, 41
16, 20, 42
17, 20, 42
5, 9, 41
4, 9, 41
3, 9, 41
2, 9, 41
1, 9, 41
0, 9, 41
22, 8, 41
21, 8, 41
20, 8, 41
19, 8, 41
18, 8, 41
17, 8, 41
6, 21, 42
7, 21, 42
8, 21, 42
5, 8, 41
4, 8, 41
3, 8, 41
2, 8, 41
1, 8, 41
0, 8, 41
22, 7, 41
21, 7, 41
20, 7, 41
19, 7, 41
18, 7, 41
17, 7, 41
16, 7, 41
9, 21, 42
10, 21, 42
6, 7, 41
5, 7, 41
4, 7, 41
3, 7, 41
2, 7, 41
1, 7, 41
0, 7, 41
21, 6, 41
20, 6, 41
19, 6, 41
18, 6, 41
17, 6, 41
16, 6, 41
15, 6, 41
11, 21, 42
12, 21, 42
